name,segment,tier,manager_name,role_type,team_column,ae_row,segment_label,sort_order,is_active,notes,primary_pod,backup_pod,overlay_pods,primary_alloc_pct,backup_alloc_pct,overlay_alloc_pct,specializations,target_load_pct,hire_date,tenure_months,ramp_status,email,photo_url
Mike H,SC Org,L1,,,,,SC Org,0,TRUE,,,,,0,0,0,,100,,,active,,
Dan,SC Org,L2,Mike H,,,,Corp NL,10,TRUE,,,,,0,0,0,,100,,,active,,
Tyler,SC Org,L2,Mike H,,,,Corp Upsell,11,TRUE,,,,,0,0,0,,100,,,active,,
Chris,SC Org,L2,Mike H,,,,Enterprise,12,TRUE,,,,,0,0,0,,100,,,active,,
LQ,SC Org,L2,Mike H,,,,Ecosystem,13,TRUE,,,,,0,0,0,,100,,,active,,
Blake,SC Org,L2,Mike H,,,,ISV,14,TRUE,,,,,0,0,0,,100,,,active,,
Doug,SC Org,L3,Dan,,,,SC Org,20,TRUE,,,,,0,0,0,,100,,,active,,
Cameron,SC Org,L3,Dan,,,,SC Org,21,TRUE,,,,,0,0,0,,100,,,active,,
Dave B,SC Org,L3,Tyler,,,,SC Org,22,TRUE,,,,,0,0,0,,100,,,active,,
Brock,SC Org,L3,Tyler,,,,SC Org,23,TRUE,,,,,0,0,0,,100,,,active,,
Sione,SC Org,L3,Chris,,,,SC Org,24,TRUE,,,,,0,0,0,,100,,,active,,
Eric,SC Org,L3,Chris,,,,SC Org,25,TRUE,,,,,0,0,0,,100,,,active,,
Ty Yagi Ecosystem,SC Org,L3,LQ,,,,SC Org,26,TRUE,,,,,0,0,0,,100,,,active,,
Nate Ecosystem,SC Org,L3,LQ,,,,SC Org,27,TRUE,,,,,0,0,0,,100,,,active,,
Alex Carter,Corp NL,L4,Doug,Corporate NL,Doug,Pod A,Corp NL,100,TRUE,,Doug,Cameron,,80,20,0,"Domo Everywhere, AI",100,2022-04-01,36,active,,
Jamie Lee,Corp NL,L4,Doug,Corporate NL,Doug,Pod B,Corp NL,101,TRUE,,Doug,,,100,0,0,AI,100,,18,active,,
Priya Shah,Corp NL,L4,Cameron,New Logo,Cameron,Pod A,Corp NL,102,TRUE,,Cameron,Doug,Brock,60,30,20,"Healthcare, Snowflake",100,,28,active,,
Diego Ruiz,Corp NL,L4,Cameron,Corporate NL,Cameron,Pod B,Corp NL,103,TRUE,,Cameron,,,90,0,0,FSI,100,,4,ramping,,
Sofia Park,Corp NL,L4,Cameron,Extra AE,Cameron,Pod C,Corp NL,104,TRUE,,Cameron,,"Doug, Brock",50,0,30,"AI, ISV",100,,,active,,
Ravi Iyer,Corp NL,L4,Doug,Domo Everywhere,Doug,Pod C,Corp NL,105,TRUE,,Doug,,Cameron,70,0,40,"Domo Everywhere, ISV",100,,,active,,
Hannah West,Corp Upsell,L4,Dave B,Upsell,Dave B,Row 1,Corp Upsell,200,TRUE,,Dave B,,,100,0,0,"Retail, Snowflake",100,,50,active,,
Marcus Field,Corp Upsell,L4,Dave B,Upsell,Dave B,Row 2,Corp Upsell,201,TRUE,,Dave B,Brock,,60,30,0,AI,100,,,active,,
Tina Olafur,Corp Upsell,L4,Brock,Upsell,Brock,Row 1,Corp Upsell,202,TRUE,,Brock,,,80,0,0,FSI,100,,6,ramping,,
Owen Chase,Corp Upsell,L4,Brock,Domo Everywhere,Brock,Row 2,Corp Upsell,203,TRUE,,Brock,,Dave B,50,0,50,"Domo Everywhere, AI",100,,,active,,
Karen Voss,ENT,L4,Sione,Enterprise,Sione,West,ENT,300,TRUE,,Sione,,,100,0,0,"FSI, Snowflake, AWS",100,,60,active,,
James Kerr,ENT,L4,Sione,Enterprise,Sione,Central,ENT,301,TRUE,,Sione,Eric,,70,30,0,Healthcare,100,,,active,,
Lin Tao,ENT,L4,Eric,Enterprise,Eric,East,ENT,302,TRUE,,Eric,,,100,0,0,"Retail, AI",100,,,active,,
Noah Black,ENT,L4,Eric,ISV,Eric,East,ENT,303,TRUE,,Eric,,Sione,60,0,40,"ISV, Snowflake",100,,,active,,
Ana Reyes,ENT,L4,Ty Yagi Ecosystem,Ecosystem,Ty Yagi Ecosystem,West,ENT,304,TRUE,,Ty Yagi Ecosystem,,,100,0,0,"Ecosystem, AWS",100,,,active,,
Felix Hu,ENT,L4,Nate Ecosystem,Ecosystem,Nate Ecosystem,Central,ENT,305,TRUE,,Nate Ecosystem,,Sione,80,0,30,"Ecosystem, Databricks",100,,,active,,
